DATA;ID CONTRATO;CONTRATO;ID OPERADORA;OPERADORA;COD EQUIPAMENTO;EQUIPAMENTO;FROTA;QTD;%
44348;COT2;Transcard;OP61;Setps (Transcard);EQ28;ATM;32;12;38%
44348;COT6;Metro-Bahia;OP63;METRÔ BAHIA (CCR);EQ28;ATM;32;12;38%
44348;COT24;GVBUS;OP108;GVBUS - SIND. DAS EMP. DE TRANP. METROP. DA GRANDE VITÓRIA;EQ28;ATM;30;15;50%
44378;COT1;Transfacil;OP27;Transfácil;EQ28;ATM;70;24;34%
44378;COT2;Transcard;OP61;Setps (Transcard);EQ28;ATM;32;17;53%
44378;COT6;Metro-Bahia;OP63;METRÔ BAHIA (CCR);EQ28;ATM;49;8;16%
44378;COT24;GVBUS;OP108;GVBUS - SIND. DAS EMP. DE TRANP. METROP. DA GRANDE VITÓRIA;EQ28;ATM;30;12;40%
44409;COT1;Transfacil;OP27;Transfácil;EQ28;ATM;70;21;30%
44409;COT24;GVBUS;OP108;GVBUS - SIND. DAS EMP. DE TRANP. METROP. DA GRANDE VITÓRIA;EQ28;ATM;30;29;97%
44409;COT2;Transcard;OP61;Setps (Transcard);EQ28;ATM;32;13;41%
44409;COT6;Metro-Bahia;OP63;METRÔ BAHIA (CCR);EQ28;ATM;49;19;39%
44440;COT1;Transfacil;OP27;Transfácil;EQ28;ATM;70;41;59%
44440;COT2;Transcard;OP61;Setps (Transcard);EQ28;ATM;32;12;38%
44440;COT6;Metro-Bahia;OP63;METRÔ BAHIA (CCR);EQ28;ATM;49;11;22%
44440;COT24;GVBUS;OP108;GVBUS - SIND. DAS EMP. DE TRANP. METROP. DA GRANDE VITÓRIA;EQ28;ATM;30;8;27%
44470;COT1;Transfacil;OP27;Transfácil;EQ28;ATM;70;15;21%
44470;COT2;Transcard;OP61;Setps (Transcard);EQ28;ATM;32;9;28%
44470;COT6;Metro-Bahia;OP63;METRÔ BAHIA (CCR);EQ28;ATM;49;24;49%
44470;COT24;GVBUS;OP108;GVBUS - SIND. DAS EMP. DE TRANP. METROP. DA GRANDE VITÓRIA;EQ28;ATM;30;35;117%
44501;COT1;Transfacil;OP27;Transfácil;EQ28;ATM;70;31;44%
